event_file,tag,step,wall_time,value
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,9900,1779901407.6217391,4.269813060760498
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,10000,1779901449.3974807,4.073444366455078
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,10100,1779902086.1563485,6.097153186798096
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,10200,1779902144.9269354,3.758384943008423
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,10300,1779902187.032282,3.893122673034668
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,10400,1779902229.101765,3.7636008262634277
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,10500,1779902270.9748354,3.9555933475494385
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,10600,1779902313.0079925,4.260553359985352
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,10700,1779902354.7792232,4.232285022735596
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,10800,1779902396.6312833,3.954862356185913
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,10900,1779902438.5870183,3.5621957778930664
