model,sample_id,L,cer_vs_gt,cer_vs_original_whisper,gt_len,hyp_len
base,BAC009S0913W0271,1,1.0,1.0,11,9
base,BAC009S0913W0271,2,1.4545454545454546,1.4545454545454546,11,16
base,BAC009S0913W0271,3,0.8181818181818182,0.8181818181818182,11,13
lca,BAC009S0913W0271,1,4.454545454545454,4.454545454545454,11,49
lca,BAC009S0913W0271,2,1.0909090909090908,1.0909090909090908,11,13
lca,BAC009S0913W0271,3,0.18181818181818182,0.18181818181818182,11,11
base,BAC009S0914W0355,1,2.1538461538461537,2.0,13,28
base,BAC009S0914W0355,2,1.1538461538461537,1.0714285714285714,13,15
base,BAC009S0914W0355,3,0.8461538461538461,0.8571428571428571,13,13
lca,BAC009S0914W0355,1,2.3846153846153846,2.2142857142857144,13,31
lca,BAC009S0914W0355,2,1.5384615384615385,1.4285714285714286,13,20
lca,BAC009S0914W0355,3,0.8461538461538461,0.8571428571428571,13,13
base,BAC009S0915W0248,1,0.7692307692307693,0.46153846153846156,13,12
base,BAC009S0915W0248,2,0.3076923076923077,0.7692307692307693,13,13
base,BAC009S0915W0248,3,0.3076923076923077,0.7692307692307693,13,13
lca,BAC009S0915W0248,1,0.7692307692307693,0.8461538461538461,13,12
lca,BAC009S0915W0248,2,0.23076923076923078,0.6153846153846154,13,12
lca,BAC009S0915W0248,3,0.15384615384615385,0.46153846153846156,13,13
base,BAC009S0916W0190,1,1.0,1.0,13,7
base,BAC009S0916W0190,2,1.5384615384615385,1.5384615384615385,13,20
base,BAC009S0916W0190,3,0.3076923076923077,0.3076923076923077,13,14
lca,BAC009S0916W0190,1,1.0769230769230769,1.0769230769230769,13,14
lca,BAC009S0916W0190,2,1.3846153846153846,1.3846153846153846,13,18
lca,BAC009S0916W0190,3,0.5384615384615384,0.5384615384615384,13,14
base,BAC009S0764W0484,1,1.3529411764705883,1.2105263157894737,17,23
base,BAC009S0764W0484,2,0.7058823529411765,0.42105263157894735,17,18
base,BAC009S0764W0484,3,0.47058823529411764,0.47368421052631576,17,19
lca,BAC009S0764W0484,1,1.2941176470588236,1.1578947368421053,17,22
lca,BAC009S0764W0484,2,0.6470588235294118,0.47368421052631576,17,18
lca,BAC009S0764W0484,3,0.5882352941176471,0.42105263157894735,17,18
base,BAC009S0765W0390,1,1.0,1.0,20,2
base,BAC009S0765W0390,2,0.3,0.391304347826087,20,21
base,BAC009S0765W0390,3,0.3,0.391304347826087,20,21
lca,BAC009S0765W0390,1,2.85,2.4782608695652173,20,59
lca,BAC009S0765W0390,2,0.15,0.08695652173913043,20,22
lca,BAC009S0765W0390,3,0.2,0.043478260869565216,20,23
base,BAC009S0766W0186,1,2.0714285714285716,2.0714285714285716,14,29
base,BAC009S0766W0186,2,1.2142857142857142,1.0714285714285714,14,18
base,BAC009S0766W0186,3,0.5714285714285714,0.5714285714285714,14,14
lca,BAC009S0766W0186,1,1.1428571428571428,1.1428571428571428,14,16
lca,BAC009S0766W0186,2,1.2142857142857142,1.1428571428571428,14,17
lca,BAC009S0766W0186,3,0.7142857142857143,0.7142857142857143,14,14
base,BAC009S0767W0409,1,2.8333333333333335,2.8333333333333335,6,17
base,BAC009S0767W0409,2,1.0,1.0,6,6
base,BAC009S0767W0409,3,0.8333333333333334,0.6666666666666666,6,7
lca,BAC009S0767W0409,1,4.0,4.0,6,24
lca,BAC009S0767W0409,2,3.5,3.5,6,21
lca,BAC009S0767W0409,3,1.0,0.8333333333333334,6,7
base,BAC009S0768W0214,1,0.75,0.6470588235294118,16,17
base,BAC009S0768W0214,2,0.25,0.29411764705882354,16,16
base,BAC009S0768W0214,3,0.125,0.17647058823529413,16,16
lca,BAC009S0768W0214,1,0.75,0.7647058823529411,16,9
lca,BAC009S0768W0214,2,0.125,0.17647058823529413,16,16
lca,BAC009S0768W0214,3,0.0625,0.11764705882352941,16,16
base,BAC009S0769W0422,1,1.0,1.0,14,6
base,BAC009S0769W0422,2,1.4285714285714286,1.4285714285714286,14,21
base,BAC009S0769W0422,3,1.0714285714285714,1.0714285714285714,14,19
lca,BAC009S0769W0422,1,3.5,3.5,14,50
lca,BAC009S0769W0422,2,1.0,1.0,14,13
lca,BAC009S0769W0422,3,0.42857142857142855,0.42857142857142855,14,14
base,BAC009S0770W0487,1,1.0,1.0,20,10
base,BAC009S0770W0487,2,0.85,0.6086956521739131,20,22
base,BAC009S0770W0487,3,0.7,0.5652173913043478,20,22
lca,BAC009S0770W0487,1,1.0,0.7391304347826086,20,23
lca,BAC009S0770W0487,2,0.75,0.5217391304347826,20,23
lca,BAC009S0770W0487,3,0.75,0.5217391304347826,20,23
base,BAC009S0901W0278,1,1.0,1.0,13,6
base,BAC009S0901W0278,2,0.46153846153846156,0.46153846153846156,13,13
base,BAC009S0901W0278,3,0.38461538461538464,0.38461538461538464,13,13
lca,BAC009S0901W0278,1,1.0,1.0,13,9
lca,BAC009S0901W0278,2,0.3076923076923077,0.3076923076923077,13,13
lca,BAC009S0901W0278,3,0.5384615384615384,0.5384615384615384,13,14
base,BAC009S0902W0281,1,0.75,0.7894736842105263,20,23
base,BAC009S0902W0281,2,0.9,0.5789473684210527,20,26
base,BAC009S0902W0281,3,0.35,0.0,20,19
lca,BAC009S0902W0281,1,0.95,1.0,20,14
lca,BAC009S0902W0281,2,0.6,0.2631578947368421,20,19
lca,BAC009S0902W0281,3,0.45,0.10526315789473684,20,19
base,BAC009S0903W0380,1,1.5333333333333334,1.5333333333333334,15,24
base,BAC009S0903W0380,2,2.533333333333333,2.533333333333333,15,41
base,BAC009S0903W0380,3,0.5333333333333333,0.5333333333333333,15,16
lca,BAC009S0903W0380,1,1.0666666666666667,1.0666666666666667,15,17
lca,BAC009S0903W0380,2,0.8666666666666667,0.8666666666666667,15,12
lca,BAC009S0903W0380,3,0.3333333333333333,0.3333333333333333,15,14
base,BAC009S0904W0279,1,1.0,0.9615384615384616,24,25
base,BAC009S0904W0279,2,1.7083333333333333,1.5769230769230769,24,42
base,BAC009S0904W0279,3,0.4583333333333333,0.5,24,23
lca,BAC009S0904W0279,1,1.0,1.0,24,9
lca,BAC009S0904W0279,2,0.9166666666666666,0.8846153846153846,24,27
lca,BAC009S0904W0279,3,0.5833333333333334,0.6153846153846154,24,24
base,BAC009S0905W0445,1,2.55,2.4285714285714284,20,52
base,BAC009S0905W0445,2,0.95,0.9523809523809523,20,22
base,BAC009S0905W0445,3,0.75,0.7619047619047619,20,20
lca,BAC009S0905W0445,1,1.0,1.0,20,11
lca,BAC009S0905W0445,2,0.5,0.5238095238095238,20,19
lca,BAC009S0905W0445,3,0.45,0.47619047619047616,20,19
base,BAC009S0906W0318,1,1.1111111111111112,1.1111111111111112,18,22
base,BAC009S0906W0318,2,0.5,0.5,18,20
base,BAC009S0906W0318,3,0.6111111111111112,0.6111111111111112,18,20
lca,BAC009S0906W0318,1,9.38888888888889,9.38888888888889,18,171
lca,BAC009S0906W0318,2,0.4444444444444444,0.4444444444444444,18,20
lca,BAC009S0906W0318,3,0.4444444444444444,0.4444444444444444,18,19
base,BAC009S0907W0485,1,1.4615384615384615,1.3571428571428572,13,19
base,BAC009S0907W0485,2,0.7692307692307693,0.6428571428571429,13,14
base,BAC009S0907W0485,3,0.6923076923076923,0.7142857142857143,13,15
lca,BAC009S0907W0485,1,2.5384615384615383,2.4285714285714284,13,34
lca,BAC009S0907W0485,2,0.8461538461538461,0.7142857142857143,13,14
lca,BAC009S0907W0485,3,0.6153846153846154,0.42857142857142855,13,15
base,BAC009S0908W0146,1,1.4444444444444444,1.5555555555555556,9,14
base,BAC009S0908W0146,2,0.5555555555555556,1.0,9,10
base,BAC009S0908W0146,3,0.5555555555555556,1.0,9,8
lca,BAC009S0908W0146,1,2.888888888888889,2.888888888888889,9,26
lca,BAC009S0908W0146,2,0.6666666666666666,0.5555555555555556,9,9
lca,BAC009S0908W0146,3,0.8888888888888888,1.0,9,9
base,BAC009S0912W0193,1,1.45,1.2608695652173914,20,29
base,BAC009S0912W0193,2,0.55,0.4782608695652174,20,22
base,BAC009S0912W0193,3,0.3,0.34782608695652173,20,22
lca,BAC009S0912W0193,1,0.9,0.7391304347826086,20,23
lca,BAC009S0912W0193,2,0.85,0.6956521739130435,20,23
lca,BAC009S0912W0193,3,0.35,0.4782608695652174,20,20
base,BAC009S0913W0348,1,1.0,1.0,22,0
base,BAC009S0913W0348,2,0.3181818181818182,0.18181818181818182,22,23
base,BAC009S0913W0348,3,0.3181818181818182,0.22727272727272727,22,23
lca,BAC009S0913W0348,1,1.0,0.9545454545454546,22,24
lca,BAC009S0913W0348,2,0.6818181818181818,0.5909090909090909,22,23
lca,BAC009S0913W0348,3,0.6363636363636364,0.5454545454545454,22,22
