metric,sample_id,L,channel,v1,v2,v2_minus_v1
pesq_wb,8838-298545-0037,1,substitution-mid,0.03294789791107178,-0.0048828125,-0.03783071041107178
pesq_wb,8838-298545-0037,2,dropout-mid,0.05844426155090332,0.018440246582031028,-0.04000401496887229
pesq_wb,8838-298545-0037,2,substitution-mid,0.006760597229003906,-0.0009690523147585228,-0.007729649543762429
pesq_wb,8838-298545-0037,3,dropout-mid,-0.05466818809509233,-0.015805959701538086,0.03886222839355424
pesq_wb,8838-298545-0037,3,substitution-mid,0.01749396324157737,-0.006067514419555664,-0.023561477661133035
si_snr_db,1455-138263-0040,1,dropout-mid,0.2844001658268045,-0.04542345597178965,-0.32982362179859415
si_snr_db,1455-138263-0040,1,substitution-mid,-0.07233387396544266,-0.14104370819992873,-0.06870983423448607
si_snr_db,1455-138263-0040,2,dropout-mid,-0.05750461037898891,-0.025472666174861214,0.032031944204127694
si_snr_db,1455-138263-0040,2,substitution-mid,-0.007141133132923194,0.025589280367125156,0.03273041350004835
si_snr_db,1455-138263-0040,3,dropout-mid,-0.04718221234085873,-0.1374515977987909,-0.09026938545793217
si_snr_db,1455-138263-0040,3,substitution-mid,-0.059865558183702205,-0.042829503342625586,0.01703605484107662
si_snr_db,1737-148989-0006,1,dropout-mid,-0.030645971002751793,0.32690519013310393,0.3575511611358557
si_snr_db,1737-148989-0006,1,substitution-mid,0.14965492528168411,-0.011984049444397016,-0.16163897472608113
si_snr_db,1737-148989-0006,2,dropout-mid,0.11949229448895693,0.47878953828148774,0.3592972437925308
si_snr_db,1737-148989-0006,2,substitution-mid,-0.12120474186416352,0.27672517074585024,0.39792991261001376
si_snr_db,1737-148989-0006,3,dropout-mid,-0.2388429524238056,0.13294753367446432,0.3717904860982699
si_snr_db,1737-148989-0006,3,substitution-mid,0.14009283309775356,-0.048142174349830924,-0.18823500744758448
si_snr_db,311-124404-0119,1,dropout-mid,-0.045034138770347454,0.05765167653780168,0.10268581530814913
si_snr_db,311-124404-0119,1,substitution-mid,-0.5259516616786968,0.014817772522667028,0.5407694342013638
si_snr_db,311-124404-0119,2,dropout-mid,0.030218004870996795,0.234483653769197,0.2042656488982002
si_snr_db,311-124404-0119,2,substitution-mid,-0.10765706817326781,0.0507928034228724,0.1584498715961402
si_snr_db,311-124404-0119,3,dropout-mid,0.4181606388174607,0.021208522658368922,-0.39695211615909176
si_snr_db,311-124404-0119,3,substitution-mid,0.002033435901253433,0.08133389979556044,0.079300463894307
si_snr_db,4018-103416-0033,1,dropout-mid,0.23993366045958664,0.3993017732109678,0.15936811275138119
si_snr_db,4018-103416-0033,1,substitution-mid,0.08435536163808349,-0.03612605744848896,-0.12048141908657245
si_snr_db,4018-103416-0033,2,dropout-mid,-0.17845551106316337,-0.10575692059724906,0.07269859046591431
si_snr_db,4018-103416-0033,2,substitution-mid,0.04382254261377838,-0.10663143686205956,-0.15045397947583794
si_snr_db,4018-103416-0033,3,dropout-mid,-0.012512776268658321,0.2326587094962509,0.2451714857649092
si_snr_db,4018-103416-0033,3,substitution-mid,-0.008955160305924359,0.11863769699318993,0.1275928572991143
si_snr_db,4680-16026-0019,1,dropout-mid,-0.013849252958004626,0.36279038045064516,0.3766396334086498
si_snr_db,4680-16026-0019,1,substitution-mid,-0.2097714855254589,-3.137766423799704e-06,0.2097683477590351
si_snr_db,4680-16026-0019,2,dropout-mid,-0.1500606027260698,-1.986156974020604,-1.8360963712945342
si_snr_db,4680-16026-0019,2,substitution-mid,0.4601532403894104,0.0,-0.4601532403894104
si_snr_db,4680-16026-0019,3,dropout-mid,0.10266954208054102,1.4509833892844388,1.3483138472038978
si_snr_db,4680-16026-0019,3,substitution-mid,-0.02339140348126456,-0.019450589723191136,0.003940813758073425
si_snr_db,5390-30102-0015,1,dropout-mid,-0.14759365786083034,-0.19634334275968168,-0.04874968489885134
si_snr_db,5390-30102-0015,1,substitution-mid,-0.09060000874849594,0.05927930281884786,0.1498793115673438
si_snr_db,5390-30102-0015,2,dropout-mid,-0.15560846760526625,0.121507140768083,0.27711560837334925
si_snr_db,5390-30102-0015,2,substitution-mid,-0.022481842630536986,0.09952382846156582,0.12200567109210281
si_snr_db,5390-30102-0015,3,dropout-mid,0.13234553640294378,0.29485316748658463,0.16250763108364086
si_snr_db,5390-30102-0015,3,substitution-mid,-0.013706848717519815,-0.030637719113626005,-0.01693087039610619
si_snr_db,8098-278278-0035,1,dropout-mid,-0.15726828800736392,0.011518335399573587,0.1687866234069375
si_snr_db,8098-278278-0035,1,substitution-mid,0.026606670585838543,0.007228146652316525,-0.01937852393352202
si_snr_db,8098-278278-0035,2,dropout-mid,0.2718690321461483,0.07898505316685234,-0.192883978979296
si_snr_db,8098-278278-0035,2,substitution-mid,0.009378906035663104,0.07702924843768222,0.06765034240201911
si_snr_db,8098-278278-0035,3,dropout-mid,-0.18785840072303572,-0.0639875318763855,0.12387086884665022
si_snr_db,8098-278278-0035,3,substitution-mid,0.04015430246435392,0.022184263736815923,-0.017970038727537996
si_snr_db,8838-298545-0037,1,dropout-mid,0.12478649688422916,0.3352322418120153,0.21044574492778612
si_snr_db,8838-298545-0037,1,substitution-mid,-0.020755128728960237,0.01654298123105047,0.037298109960010706
si_snr_db,8838-298545-0037,2,dropout-mid,0.11191601894861136,0.24102926154649196,0.1291132425978806
si_snr_db,8838-298545-0037,2,substitution-mid,-0.04433828592544303,-0.05852715093122979,-0.014188865005786755
si_snr_db,8838-298545-0037,3,dropout-mid,0.04359477865467798,0.14154580377526216,0.09795102512058418
si_snr_db,8838-298545-0037,3,substitution-mid,0.027877197331884762,0.06394835080142469,0.03607115346953993
stoi,1455-138263-0040,1,dropout-mid,0.002736874790320365,-0.0011785984875993805,-0.003915473277919745
stoi,1455-138263-0040,1,substitution-mid,-0.0008262023279084207,-0.0021863323580983973,-0.0013601300301899766
stoi,1455-138263-0040,2,dropout-mid,0.0027108617215401143,0.00016700918357082095,-0.0025438525379692933
stoi,1455-138263-0040,2,substitution-mid,-0.0019869666741547665,-0.0010164573749809058,0.0009705092991738606
stoi,1455-138263-0040,3,dropout-mid,0.0017290954290907212,0.0023586329965316066,0.0006295375674408854
stoi,1455-138263-0040,3,substitution-mid,-0.004485464627966285,-0.0034730286485623596,0.001012435979403925
stoi,1737-148989-0006,1,dropout-mid,0.0018576432526531406,0.004532243219728116,0.0026745999670749754
stoi,1737-148989-0006,1,substitution-mid,0.0006930461488774409,-0.0001161911409089944,-0.0008092372897864353
stoi,1737-148989-0006,2,dropout-mid,0.006123963318670711,0.005220151850928723,-0.0009038114677419884
stoi,1737-148989-0006,2,substitution-mid,0.0012270324448709902,-0.0005864031155924376,-0.0018134355604634278
stoi,1737-148989-0006,3,dropout-mid,0.005015499543423285,0.006826127869576926,0.0018106283261536404
stoi,1737-148989-0006,3,substitution-mid,0.0005197661226046257,-0.002820240286578568,-0.003340006409183194
stoi,311-124404-0119,1,dropout-mid,-0.0016550349127744113,-0.0008077245609096062,0.0008473103518648051
stoi,311-124404-0119,1,substitution-mid,-0.006712629080725452,-0.0012141845957471809,0.005498444484978271
stoi,311-124404-0119,2,dropout-mid,-0.005350341504717804,0.0005662152165907264,0.00591655672130853
stoi,311-124404-0119,2,substitution-mid,-0.0034481654116759186,0.004707519692797146,0.008155685104473065
stoi,311-124404-0119,3,dropout-mid,0.010123857362345556,0.011761224786616453,0.0016373674242708969
stoi,311-124404-0119,3,substitution-mid,0.0011073052889415402,0.0006421259012404645,-0.0004651793877010757
stoi,4018-103416-0033,1,dropout-mid,-9.339528955498722e-05,0.003225155477952213,0.0033185507675072
stoi,4018-103416-0033,1,substitution-mid,-0.002795901488318986,0.0021194081931189546,0.0049153096814379404
stoi,4018-103416-0033,2,dropout-mid,0.0002075519352994215,0.0024805938071446043,0.002273041871845183
stoi,4018-103416-0033,2,substitution-mid,-0.0010698527251418177,-0.0028129654047266417,-0.001743112679584824
stoi,4018-103416-0033,3,dropout-mid,0.00015085654166357987,-0.0011777512342218133,-0.0013286077758853931
stoi,4018-103416-0033,3,substitution-mid,-0.0016570823469800322,0.0001045617543768973,0.0017616441013569295
stoi,4680-16026-0019,1,dropout-mid,-0.011234068791007412,0.004481354592000386,0.0157154233830078
stoi,4680-16026-0019,1,substitution-mid,-0.0002992541764812451,0.0,0.0002992541764812451
stoi,4680-16026-0019,2,dropout-mid,0.0029538957550239164,-9.895037699891862e-05,-0.003052846132022835
stoi,4680-16026-0019,2,substitution-mid,-0.006965257436661876,0.0,0.006965257436661876
stoi,4680-16026-0019,3,dropout-mid,-0.002487236658832548,-0.0026094907735068062,-0.0001222541146742584
stoi,4680-16026-0019,3,substitution-mid,-0.00010627892928471994,0.0003047536765974357,0.0004110326058821556
stoi,5390-30102-0015,1,dropout-mid,0.0023749621594327808,0.001557486108424655,-0.0008174760510081258
stoi,5390-30102-0015,1,substitution-mid,-0.0011596022478808088,-0.00015966902781894277,0.000999933220061866
stoi,5390-30102-0015,2,dropout-mid,-0.0014117290835765628,0.0005081958698065492,0.001919924953383112
stoi,5390-30102-0015,2,substitution-mid,0.0016237377000597464,0.001477249891003729,-0.00014648780905601733
stoi,5390-30102-0015,3,dropout-mid,0.00591507178357642,0.0018114351871878487,-0.004103636596388571
stoi,5390-30102-0015,3,substitution-mid,9.912270767931108e-05,-8.48207670940404e-05,-0.0001839434747733515
stoi,8098-278278-0035,1,dropout-mid,0.0004706351178781487,0.00617005935799575,0.005699424240117601
stoi,8098-278278-0035,1,substitution-mid,-0.0006192918536088721,-0.0011507340646847997,-0.0005314422110759276
