version,metric,direction,sample_id,L,channel,base_degradation,lca_degradation,rob_imp
v1,mel_l1,lower,4680-16026-0019,1,substitution-low,0.0,0.0,0.0
v1,mel_l1,lower,4680-16026-0019,1,substitution-mid,0.006895303726196289,0.00987553596496582,-0.0029802322387695312
v1,mel_l1,lower,4680-16026-0019,2,dropout-low,0.009835362434387207,0.014003157615661621,-0.004167795181274414
v1,mel_l1,lower,4680-16026-0019,2,dropout-mid,0.01671302318573009,0.011651158332824707,0.0050618648529053845
v1,mel_l1,lower,4680-16026-0019,2,substitution-low,0.0,0.0,0.0
v1,mel_l1,lower,4680-16026-0019,2,substitution-mid,0.012191414833068848,0.02371513843536377,-0.011523723602294922
v1,mel_l1,lower,4680-16026-0019,3,dropout-low,0.013774693012237549,0.005618929862976074,0.008155763149261475
v1,mel_l1,lower,4680-16026-0019,3,dropout-mid,0.008544743061065674,0.019524097442626953,-0.01097935438156128
v1,mel_l1,lower,4680-16026-0019,3,substitution-low,0.01940244436264038,0.020409584045410156,-0.0010071396827697754
v1,mel_l1,lower,4680-16026-0019,3,substitution-mid,0.00745624303817749,0.007584810256958008,-0.00012856721878051758
v1,mel_l1,lower,8098-278278-0035,1,dropout-low,0.009486913681030273,0.02056097984313965,-0.011074066162109375
v1,mel_l1,lower,8098-278278-0035,1,dropout-mid,0.021445393562316895,0.0383647680282595,-0.016919374465942605
v1,mel_l1,lower,8098-278278-0035,1,substitution-low,-0.0006989240646362305,0.0018274784088134766,-0.002526402473449707
v1,mel_l1,lower,8098-278278-0035,1,substitution-mid,0.020717740058898926,0.023833751678466797,-0.003116011619567871
v1,mel_l1,lower,8098-278278-0035,2,dropout-low,0.0062711238861083984,0.005822658538818359,0.00044846534729003906
v1,mel_l1,lower,8098-278278-0035,2,dropout-mid,0.030948281288146973,0.023649454116821178,0.007298827171325795
v1,mel_l1,lower,8098-278278-0035,2,substitution-low,0.0029549002647399902,0.004505932331085205,-0.0015510320663452148
v1,mel_l1,lower,8098-278278-0035,2,substitution-mid,0.005750060081481934,0.005536615848541149,0.00021344423294078485
v1,mel_l1,lower,8098-278278-0035,3,dropout-low,0.008141756057739258,0.0054610371589660645,0.0026807188987731934
v1,mel_l1,lower,8098-278278-0035,3,dropout-mid,0.01482456922531128,0.01723337173461914,-0.0024088025093078613
v1,mel_l1,lower,8098-278278-0035,3,substitution-low,0.011267840862274281,0.007764279842376709,0.003503561019897572
v1,mel_l1,lower,8098-278278-0035,3,substitution-mid,0.005593836307525635,0.005025148391723633,0.000568687915802002
v1,pesq_wb,higher,8838-298545-0037,1,dropout-low,0.018842458724975586,0.009739518165588379,0.009102940559387207
v1,pesq_wb,higher,8838-298545-0037,1,dropout-mid,0.03934741020202637,0.0325397253036499,0.006807684898376465
v1,pesq_wb,higher,8838-298545-0037,1,substitution-low,0.028422951698303223,0.03016650676727295,-0.0017435550689697266
v1,pesq_wb,higher,8838-298545-0037,1,substitution-mid,0.042171359062194824,0.009223461151123047,0.03294789791107178
v1,pesq_wb,higher,8838-298545-0037,2,dropout-low,0.08112156391143799,0.09681940078735352,-0.015697836875915527
v1,pesq_wb,higher,8838-298545-0037,2,dropout-mid,0.1783607006072998,0.11991643905639648,0.05844426155090332
v1,pesq_wb,higher,8838-298545-0037,2,substitution-low,0.0,0.0,0.0
v1,pesq_wb,higher,8838-298545-0037,2,substitution-mid,0.010269045829772727,0.003508448600768821,0.006760597229003906
v1,pesq_wb,higher,8838-298545-0037,3,dropout-low,0.05915069580078147,0.06942868232727006,-0.010277986526488592
v1,pesq_wb,higher,8838-298545-0037,3,dropout-mid,0.05836749076843262,0.11303567886352495,-0.05466818809509233
v1,pesq_wb,higher,8838-298545-0037,3,substitution-low,0.006834745407104492,0.005466461181640181,0.0013682842254643113
v1,pesq_wb,higher,8838-298545-0037,3,substitution-mid,0.018757343292236106,0.0012633800506587356,0.01749396324157737
v1,pesq_wb,higher,5390-30102-0015,1,dropout-low,0.010600805282592773,0.006936550140380859,0.003664255142211914
v1,pesq_wb,higher,5390-30102-0015,1,dropout-mid,0.024241328239440918,0.021724343299865723,0.0025169849395751953
v1,pesq_wb,higher,5390-30102-0015,1,substitution-low,4.00543212890625e-05,-0.0002541542053222656,0.0002942085266113281
v1,pesq_wb,higher,5390-30102-0015,1,substitution-mid,0.009058475494384766,0.007674694061279297,0.0013837814331054688
v1,pesq_wb,higher,5390-30102-0015,2,dropout-low,0.025169968605041726,0.013546109199523704,0.011623859405518022
v1,pesq_wb,higher,5390-30102-0015,2,dropout-mid,0.0712735652923584,0.07787990570068337,-0.006606340408324973
v1,pesq_wb,higher,5390-30102-0015,2,substitution-low,0.0002168416976928711,0.000762939453124778,-0.0005460977554319069
v1,pesq_wb,higher,5390-30102-0015,2,substitution-mid,0.05155479907989502,0.057709813117980735,-0.0061550140380857155
v1,pesq_wb,higher,5390-30102-0015,3,dropout-low,0.009926199913024902,0.00802183151245095,0.0019043684005739525
v1,pesq_wb,higher,5390-30102-0015,3,dropout-mid,0.09864592552185059,0.0918123722076416,0.006833553314208984
v1,pesq_wb,higher,5390-30102-0015,3,substitution-low,0.0010967254638671875,0.00508153438568093,-0.003984808921813743
v1,pesq_wb,higher,5390-30102-0015,3,substitution-mid,0.036298274993896484,0.06496679782867432,-0.028668522834777832
v1,pesq_wb,higher,4018-103416-0033,1,dropout-low,0.025968313217163308,0.014795899391174316,0.011172413825988992
v1,pesq_wb,higher,4018-103416-0033,1,dropout-mid,0.03836262226104781,0.05134141445159912,-0.012978792190551314
v1,pesq_wb,higher,4018-103416-0033,1,substitution-low,0.012784123420715776,0.01841282844543457,-0.005628705024718794
v1,pesq_wb,higher,4018-103416-0033,1,substitution-mid,0.02148115634918235,-0.005675315856933594,0.027156472206115945
v1,pesq_wb,higher,4018-103416-0033,2,dropout-low,0.13343906402587913,0.18253684043884277,-0.049097776412963645
v1,pesq_wb,higher,4018-103416-0033,2,dropout-mid,0.11534237861633279,0.12003660202026367,-0.004694223403930886
v1,pesq_wb,higher,4018-103416-0033,2,substitution-low,0.0007078647613525391,0.000827789306640625,-0.00011992454528808594
v1,pesq_wb,higher,4018-103416-0033,2,substitution-mid,0.01975560188293457,0.06771576404571533,-0.04796016216278076
v1,pesq_wb,higher,4018-103416-0033,3,dropout-low,0.020779132843017578,0.02347826957702681,-0.002699136734009233
v1,pesq_wb,higher,4018-103416-0033,3,dropout-mid,0.18487930297851562,0.1457664966583252,0.03911280632019043
v1,pesq_wb,higher,4018-103416-0033,3,substitution-low,0.03734779357910156,0.03826761245727539,-0.0009198188781738281
v1,pesq_wb,higher,4018-103416-0033,3,substitution-mid,0.09458160400390625,0.17235255241394043,-0.07777094841003418
v1,pesq_wb,higher,1737-148989-0006,1,dropout-low,-0.0001575946807861328,0.006557583808898926,-0.006715178489685059
v1,pesq_wb,higher,1737-148989-0006,1,dropout-mid,0.020748496055603027,0.01496005058288552,0.005788445472717507
v1,pesq_wb,higher,1737-148989-0006,1,substitution-low,0.0,0.0,0.0
