model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
base,8838-298545-0037,3,dropout-low,0.01,0.0,1500,13.79,0.023767054080963135,0.043281327933073044,0.986983597278595,1.8776049487942135,0.7787367701530457,0.8759539355563899,1.880258321762085,-0.6767332688076698,0.45209625363349915,0.0,220640,0.00966183574879227,0.0,14563,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-low\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,dropout-low,0.01,0.0,1500,13.79,0.022702611982822418,0.041520439088344574,0.9827434420585632,2.3009341626840984,0.7933716177940369,0.8920809454948907,1.9518980979919434,-0.9166408296701127,0.4593355059623718,0.0,220640,0.00966183574879227,0.0,14563,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-low\L3\8838-298545-0037.wav
base,8838-298545-0037,3,dropout-mid,0.03,0.0,1500,13.79,0.025622297078371048,0.047552697360515594,1.0131679773330688,0.5409047275677044,0.7287639379501343,0.8608284213388405,1.723313808441162,-0.8410765269179037,0.4530881345272064,0.0,220640,0.036231884057971016,0.0,14294,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-mid\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,dropout-mid,0.03,0.0,1500,13.79,0.02466222271323204,0.04669095203280449,1.0096789598464966,0.6325038672344956,0.7323561906814575,0.8706523742535904,1.6905394792556763,-1.1975262157974682,0.4774915277957916,0.0,220640,0.036231884057971016,0.0,14294,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-mid\L3\8838-298545-0037.wav
base,8838-298545-0037,3,substitution-low,0.0,0.001,1500,13.79,0.02374439314007759,0.043272800743579865,0.9831253886222839,1.8838290314721653,0.7789563536643982,0.8792934980891862,1.873465895652771,-0.6689628039256789,0.45209625363349915,0.0,220640,0.0,0.000966183574879227,13992,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-low\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,substitution-low,0.0,0.001,1500,13.79,0.022723739966750145,0.041590366512537,0.977252721786499,2.288801352779627,0.7929608225822449,0.8941724437646307,1.9528346061706543,-0.8922382991626493,0.4596981704235077,0.0,220640,0.0,0.000966183574879227,13992,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-low\L3\8838-298545-0037.wav
base,8838-298545-0037,3,substitution-mid,0.0,0.005,1500,13.79,0.023826755583286285,0.043624795973300934,0.9925702214241028,1.770818242422934,0.774949848651886,0.8777519485842545,1.8390226364135742,-0.6891089583054028,0.45209625363349915,0.0,220640,0.0,0.002898550724637681,14123,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-mid\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,substitution-mid,0.0,0.005,1500,13.79,0.02269919216632843,0.04164415970444679,0.9810016751289368,2.2599575983581848,0.7919818758964539,0.8940627822890553,1.9487855434417725,-0.9266361456541967,0.45956483483314514,0.0,220640,0.0,0.002898550724637681,14123,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-mid\L3\8838-298545-0037.wav
base,5390-30102-0015,1,clean,0.0,0.0,500,15.26,0.03107987903058529,0.04837138205766678,1.3381139039993286,-3.892163225594187,0.5383598208427429,0.7740162147118261,1.2074334621429443,-3.613279533835172,0.32823967933654785,0.0,244160,0.0,0.0,62426,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\clean\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,clean,0.0,0.0,500,15.26,0.03152373805642128,0.04906940832734108,1.2319248914718628,-4.062973780001728,0.5308514833450317,0.7863868311796325,1.2116084098815918,-3.130285814995146,0.32217156887054443,0.0,244160,0.0,0.0,62426,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\clean\L1\5390-30102-0015.wav
