model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
lca,8838-298545-0037,3,clean,0.0,0.0,1500,13.79,0.0219828300178051,0.040074609220027924,0.9338724613189697,2.7913406445385496,0.8095494508743286,0.8929103655933479,2.0817177295684814,-0.7709151209811215,0.4393889605998993,0.0,220640,0.0,0.0,59558,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\clean\L3\8838-298545-0037.wav
base,8838-298545-0037,3,dropout-low,0.01,0.0,1500,13.79,0.024196382611989975,0.04444026201963425,0.9916897416114807,1.540883544595999,0.766668975353241,0.8773372436577445,1.8131003379821777,-0.6709739652160622,0.4819622337818146,0.0,220640,0.00676328502415459,0.0,59167,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-low\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,dropout-low,0.01,0.0,1500,13.79,0.022657610476017,0.04284030571579933,0.9435082077980042,1.9676456289569857,0.7819004058837891,0.8906308177896783,2.012289047241211,-0.76387609585561,0.4396132826805115,0.0,220640,0.00676328502415459,0.0,59167,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-low\L3\8838-298545-0037.wav
base,8838-298545-0037,3,dropout-mid,0.03,0.0,1500,13.79,0.02499663643538952,0.04542447626590729,0.999725341796875,1.26719546433928,0.7565926909446716,0.866591531187866,1.8138835430145264,-0.6451846559849683,0.45341256260871887,0.0,220640,0.02608695652173913,0.0,59767,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-mid\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,dropout-mid,0.03,0.0,1500,13.79,0.02312396839261055,0.04193413630127907,0.9461153149604797,2.2051961346944355,0.7901155352592468,0.8834550288850493,1.968682050704956,-0.8410436318091239,0.4386955499649048,0.0,220640,0.02608695652173913,0.0,59767,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-mid\L3\8838-298545-0037.wav
base,8838-298545-0037,3,substitution-low,0.0,0.001,1500,13.79,0.02368701621890068,0.0432252362370491,0.9852931499481201,1.8929033873638803,0.7792761921882629,0.879525580633296,1.8654162883758545,-0.6792154329727378,0.45209625363349915,0.0,220640,0.0,0.0024154589371980675,59970,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-low\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,substitution-low,0.0,0.001,1500,13.79,0.0220428928732872,0.04012538865208626,0.9374140501022339,2.777419455276067,0.809101939201355,0.8929779183748042,2.076251268386841,-0.7671991937449812,0.4393889605998993,0.0,220640,0.0,0.0024154589371980675,59970,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-low\L3\8838-298545-0037.wav
base,8838-298545-0037,3,substitution-mid,0.0,0.005,1500,13.79,0.02375519834458828,0.04329097270965576,0.987777829170227,1.8854536846298546,0.7790136337280273,0.879109699773645,1.8534936904907227,-0.6545352237642241,0.45209625363349915,0.0,220640,0.0,0.003381642512077295,59077,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-mid\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,substitution-mid,0.0,0.005,1500,13.79,0.021988894790410995,0.04003894329071045,0.9378128051757812,2.8077367736622167,0.8100754618644714,0.891974002904638,2.0804543495178223,-0.756117684168503,0.4393889605998993,0.0,220640,0.0,0.003381642512077295,59077,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-mid\L3\8838-298545-0037.wav
base,5390-30102-0015,1,clean,0.0,0.0,500,15.26,0.03107987903058529,0.04837138205766678,1.3381139039993286,-3.892163225594187,0.5383598208427429,0.7740162147118261,1.2074334621429443,-3.613279533835172,0.32823967933654785,0.0,244160,0.0,0.0,49153,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\clean\L1\5390-30102-0015.wav
