method,model,L,codec_setting,sample_id,duration_sec,ideal_bitrate_bps,packed_payload_bytes,packed_payload_bps,packetized_payload_bytes,packetized_payload_bps,overhead_ratio_vs_ideal,bits_per_code,num_indices
scit_lca,scit_lca,2,L=2,4680-16026-0019,2.34,1000,293,1001.7094017094017,309,1056.4102564102566,0.05641025641025658,10,234
scit_lca,scit_lca,3,L=3,4680-16026-0019,2.34,1500,439,1500.854700854701,455,1555.5555555555557,0.037037037037037104,10,351
pcm,pcm_16bit_16khz,,16bit_16khz_passthrough,4680-16026-0019,2.34,256000,74880,256000,74880,256000,0.0,,
encodec,encodec_24khz,2,bw1.5kbps_n_cb2,4680-16026-0019,2.34,1500.0,440,1504.2735042735044,456,1558.9743589743591,0.03931623931623941,10,352
encodec,encodec_24khz,4,bw3.0kbps_n_cb4,4680-16026-0019,2.34,3000.0,880,3008.5470085470088,896,3063.2478632478633,0.021082621082621093,10,704
encodec,encodec_24khz,8,bw6.0kbps_n_cb8,4680-16026-0019,2.34,6000.0,1760,6017.0940170940175,1776,6071.794871794872,0.011965811965812008,10,1408
encodec,encodec_24khz,16,bw12.0kbps_n_cb16,4680-16026-0019,2.34,12000.0,3520,12034.188034188035,3536,12088.88888888889,0.007407407407407542,10,2816
dac,dac_16khz,1,n_q_1,4680-16026-0019,2.3395,502.5641025641026,147,502.5641025641026,163,557.2649572649573,0.10884353741496593,10,117
dac,dac_16khz,2,n_q_2,4680-16026-0019,2.3395,1001.7094017094017,293,1001.7094017094017,309,1056.4102564102566,0.054607508532423354,10,234
dac,dac_16khz,3,n_q_3,4680-16026-0019,2.3395,1500.854700854701,439,1500.854700854701,455,1555.5555555555557,0.03644646924829159,10,351
dac,dac_16khz,4,n_q_4,4680-16026-0019,2.3395,2000.0000000000002,585,2000.0000000000002,601,2054.700854700855,0.027350427350427364,10,468
dac,dac_16khz,6,n_q_6,4680-16026-0019,2.3395,3001.709401709402,878,3001.709401709402,894,3056.410256410257,0.018223234624145872,10,702
dac,dac_16khz,9,n_q_9,4680-16026-0019,2.3395,4502.5641025641025,1317,4502.5641025641025,1333,4557.264957264958,0.012148823082764016,10,1053
dac,dac_16khz,12,n_q_12,4680-16026-0019,2.3395,6000.0,1755,6000.0,1771,6054.700854700855,0.009116809116809236,10,1404
scit_base,scit_base,1,L=1,8098-278278-0035,15.1,500,944,500.1324503311258,960,508.60927152317885,0.017218543046357695,10,755
scit_base,scit_base,2,L=2,8098-278278-0035,15.1,1000,1888,1000.2649006622516,1904,1008.7417218543046,0.008741721854304614,10,1510
scit_base,scit_base,3,L=3,8098-278278-0035,15.1,1500,2832,1500.3973509933776,2848,1508.8741721854306,0.005916114790287035,10,2265
scit_lca,scit_lca,1,L=1,8098-278278-0035,15.1,500,944,500.1324503311258,960,508.60927152317885,0.017218543046357695,10,755
scit_lca,scit_lca,2,L=2,8098-278278-0035,15.1,1000,1888,1000.2649006622516,1904,1008.7417218543046,0.008741721854304614,10,1510
scit_lca,scit_lca,3,L=3,8098-278278-0035,15.1,1500,2832,1500.3973509933776,2848,1508.8741721854306,0.005916114790287035,10,2265
pcm,pcm_16bit_16khz,,16bit_16khz_passthrough,8098-278278-0035,15.1,256000,483200,256000,483200,256000,0.0,,
encodec,encodec_24khz,2,bw1.5kbps_n_cb2,8098-278278-0035,15.1,1500.0,2833,1500.9271523178809,2849,1509.4039735099338,0.006269315673289233,10,2266
encodec,encodec_24khz,4,bw3.0kbps_n_cb4,8098-278278-0035,15.1,3000.0,5665,3001.3245033112585,5681,3009.801324503311,0.0032671081677704025,10,4532
encodec,encodec_24khz,8,bw6.0kbps_n_cb8,8098-278278-0035,15.1,6000.0,11330,6002.649006622517,11346,6011.12582781457,0.0018543046357616124,10,9064
encodec,encodec_24khz,16,bw12.0kbps_n_cb16,8098-278278-0035,15.1,12000.0,22660,12005.298013245034,22676,12013.774834437087,0.0011479028697572175,10,18128
dac,dac_16khz,1,n_q_1,8098-278278-0035,15.0995,500.1324503311258,944,500.1324503311258,960,508.60927152317885,0.016949152542372968,10,755
dac,dac_16khz,2,n_q_2,8098-278278-0035,15.0995,1000.2649006622516,1888,1000.2649006622516,1904,1008.7417218543046,0.008474576271186427,10,1510
dac,dac_16khz,3,n_q_3,8098-278278-0035,15.0995,1500.3973509933776,2832,1500.3973509933776,2848,1508.8741721854306,0.005649717514124284,10,2265
dac,dac_16khz,4,n_q_4,8098-278278-0035,15.0995,2000.0,3775,2000.0,3791,2008.476821192053,0.004238410596026483,10,3020
dac,dac_16khz,6,n_q_6,8098-278278-0035,15.0995,3000.264900662252,5663,3000.264900662252,5679,3008.7417218543046,0.0028253575843191847,10,4530
dac,dac_16khz,9,n_q_9,8098-278278-0035,15.0995,4500.132450331126,8494,4500.132450331126,8510,4508.609271523179,0.0018836825994819335,10,6795
dac,dac_16khz,12,n_q_12,8098-278278-0035,15.0995,6000.0,11325,6000.0,11341,6008.476821192053,0.00141280353200879,10,9060
opus,libopus,,opus_6000bps,8838-298545-0037,13.79,6000.0,10782,6254.967367657723,10798,6264.249456127629,0.04404157602127149,,
opus,libopus,,opus_8000bps,8838-298545-0037,13.79,8000.0,13950,8092.820884699057,13966,8102.102973168963,0.012762871646120402,,
opus,libopus,,opus_12000bps,8838-298545-0037,13.79,12000.0,21051,12212.327773749093,21067,12221.609862219,0.018467488518250016,,
opus,libopus,,opus_16000bps,8838-298545-0037,13.79,16000.0,27380,15883.973894126178,27396,15893.255982596085,-0.006671501087744673,,
opus,libopus,,opus_24000bps,8838-298545-0037,13.79,24000.0,39997,23203.480783176215,40013,23212.762871646122,-0.03280154701474491,,
opus,libopus,,opus_6000bps,5390-30102-0015,15.26,6000.0,12205,6398.427260812582,12221,6406.815203145478,0.06780253385757973,,
opus,libopus,,opus_8000bps,5390-30102-0015,15.26,8000.0,15981,8377.981651376147,15997,8386.369593709043,0.04829619921363042,,
opus,libopus,,opus_12000bps,5390-30102-0015,15.26,12000.0,24071,12619.13499344692,24087,12627.522935779816,0.05229357798165135,,
opus,libopus,,opus_16000bps,5390-30102-0015,15.26,16000.0,31634,16584.010484927916,31650,16592.398427260814,0.03702490170380088,,
opus,libopus,,opus_24000bps,5390-30102-0015,15.26,24000.0,46703,24483.879423328966,46719,24492.26736566186,0.020511140235910868,,
opus,libopus,,opus_6000bps,4018-103416-0033,15.13,6000.0,11820,6249.834765366821,11836,6258.294778585591,0.04304912976426522,,
opus,libopus,,opus_8000bps,4018-103416-0033,15.13,8000.0,15261,8069.266358228684,15277,8077.726371447455,0.009715796430931846,,
opus,libopus,,opus_12000bps,4018-103416-0033,15.13,12000.0,22975,12148.050231328485,22991,12156.510244547257,0.013042520378938055,,
opus,libopus,,opus_16000bps,4018-103416-0033,15.13,16000.0,30430,16089.887640449437,30446,16098.347653668208,0.006146728354263019,,
opus,libopus,,opus_24000bps,4018-103416-0033,15.13,24000.0,45394,24002.11500330469,45410,24010.57501652346,0.0004406256884775151,,
opus,libopus,,opus_6000bps,1737-148989-0006,10.69,6000.0,8707,6515.9962581852205,8723,6527.970065481759,0.08799501091362648,,
opus,libopus,,opus_8000bps,1737-148989-0006,10.69,8000.0,11095,8303.086997193639,11111,8315.060804490178,0.03938260056127228,,
opus,libopus,,opus_12000bps,1737-148989-0006,10.69,12000.0,16828,12593.451824134705,16844,12605.425631431244,0.050452135952603686,,
opus,libopus,,opus_16000bps,1737-148989-0006,10.69,16000.0,22129,16560.523854069223,22145,16572.497661365764,0.03578110383536023,,
opus,libopus,,opus_24000bps,1737-148989-0006,10.69,24000.0,32901,24621.889616463985,32917,24633.863423760526,0.0264109759900219,,
opus,libopus,,opus_6000bps,1455-138263-0040,14.83,6000.0,11517,6212.811867835469,11533,6221.443020903574,0.0369071701505956,,
opus,libopus,,opus_8000bps,1455-138263-0040,14.83,8000.0,14944,8061.496965610249,14960,8070.128118678354,0.008766014834794306,,
opus,libopus,,opus_12000bps,1455-138263-0040,14.83,12000.0,22934,12371.67902899528,22950,12380.310182063386,0.0316925151719488,,
opus,libopus,,opus_16000bps,1455-138263-0040,14.83,16000.0,30198,16290.222521915037,30214,16298.853674983142,0.01867835468644637,,
opus,libopus,,opus_24000bps,1455-138263-0040,14.83,24000.0,44941,24243.290627107213,44957,24251.92178017532,0.010496740840638268,,
opus,libopus,,opus_6000bps,311-124404-0119,6.175,6000.0,4960,6425.9109311740895,4976,6446.63967611336,0.07443994601889335,,
opus,libopus,,opus_8000bps,311-124404-0119,6.175,8000.0,6334,8205.991902834008,6350,8226.72064777328,0.02834008097165997,,
opus,libopus,,opus_12000bps,311-124404-0119,6.175,12000.0,9541,12360.809716599191,9557,12381.538461538463,0.0317948717948719,,
opus,libopus,,opus_16000bps,311-124404-0119,6.175,16000.0,12448,16126.963562753037,12464,16147.692307692309,0.009230769230769284,,
opus,libopus,,opus_24000bps,311-124404-0119,6.175,24000.0,18419,23862.67206477733,18435,23883.4008097166,-0.00485829959514164,,
opus,libopus,,opus_6000bps,4680-16026-0019,2.34,6000.0,1931,6601.709401709402,1947,6656.410256410257,0.10940170940170947,,
opus,libopus,,opus_8000bps,4680-16026-0019,2.34,8000.0,2458,8403.418803418805,2474,8458.119658119658,0.05726495726495728,,
opus,libopus,,opus_12000bps,4680-16026-0019,2.34,12000.0,3737,12776.068376068377,3753,12830.769230769232,0.06923076923076936,,
opus,libopus,,opus_16000bps,4680-16026-0019,2.34,16000.0,4844,16560.68376068376,4860,16615.384615384617,0.03846153846153857,,
opus,libopus,,opus_24000bps,4680-16026-0019,2.34,24000.0,7166,24499.1452991453,7182,24553.846153846156,0.023076923076923172,,
opus,libopus,,opus_6000bps,8098-278278-0035,15.1,6000.0,12275,6503.311258278146,12291,6511.788079470199,0.08529801324503311,,
opus,libopus,,opus_8000bps,8098-278278-0035,15.1,8000.0,15514,8219.337748344371,15530,8227.814569536424,0.028476821192052967,,
opus,libopus,,opus_12000bps,8098-278278-0035,15.1,12000.0,23084,12229.933774834437,23100,12238.41059602649,0.01986754966887414,,
opus,libopus,,opus_16000bps,8098-278278-0035,15.1,16000.0,30113,15953.907284768213,30129,15962.384105960266,-0.0023509933774834052,,
opus,libopus,,opus_24000bps,8098-278278-0035,15.1,24000.0,44011,23317.08609271523,44027,23325.562913907284,-0.02810154525386315,,
