model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
lca,8838-298545-0037,3,clean,0.0,0.0,1500,13.79,0.022771961987018585,0.041984837502241135,0.9687113165855408,2.062889942069927,0.7852172255516052,0.889761256742852,1.9726229906082153,-1.2174701152532477,0.4224903881549835,0.0,220640,0.0,0.0,4342,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\clean\L3\8838-298545-0037.wav
base,8838-298545-0037,3,dropout-mid,0.05,0.0,1500,13.79,0.02518535777926445,0.04635307565331459,1.0182801485061646,1.0168040519266197,0.7471720576286316,0.8587774302358292,1.752431869506836,-0.6098265757788697,0.48596298694610596,0.0,220640,0.04685990338164251,0.0,5119,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\dropout-mid\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,dropout-mid,0.05,0.0,1500,13.79,0.02406407706439495,0.04426630958914757,1.0034699440002441,1.3243050449337368,0.7587146759033203,0.8731465054520646,1.8369978666305542,-1.3368285109725537,0.42183008790016174,0.0,220640,0.04685990338164251,0.0,5119,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\dropout-mid\L3\8838-298545-0037.wav
base,8838-298545-0037,3,dropout-high,0.1,0.0,1500,13.79,0.02734808251261711,0.05130353197455406,1.0798970460891724,-0.5197973303225081,0.6856484413146973,0.8354635730296567,1.474000096321106,-0.7596916849196355,0.4689165949821472,0.0,220640,0.09323671497584542,0.0,4877,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\dropout-high\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,dropout-high,0.1,0.0,1500,13.79,0.02673007920384407,0.05058087781071663,1.0411059856414795,-0.663807791421822,0.6796046495437622,0.84833829173163,1.6761871576309204,-1.4241159225041364,0.4419317841529846,0.0,220640,0.09323671497584542,0.0,4877,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\dropout-high\L3\8838-298545-0037.wav
base,8838-298545-0037,3,substitution-mid,0.0,0.01,1500,13.79,0.023903094232082367,0.043541960418224335,0.9991315603256226,1.7948241717934812,0.7758044004440308,0.8756157503407281,1.8139978647232056,-0.6897742458424689,0.45209625363349915,0.0,220640,0.0,0.010144927536231883,4379,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\substitution-mid\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,substitution-mid,0.0,0.01,1500,13.79,0.022888947278261185,0.042080242186784744,0.9803787469863892,2.024727711826761,0.7838919758796692,0.8857659240704947,1.9083023071289062,-1.2489730927959355,0.4224903881549835,0.0,220640,0.0,0.010144927536231883,4379,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\substitution-mid\L3\8838-298545-0037.wav
base,8838-298545-0037,3,substitution-high,0.0,0.03,1500,13.79,0.024645783007144928,0.04501130431890488,1.0344229936599731,1.3185097707495117,0.7584996819496155,0.8677419783092861,1.7353081703186035,-0.7824877169890766,0.4536034166812897,0.0,220640,0.0,0.018357487922705314,4651,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\substitution-high\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,substitution-high,0.0,0.03,1500,13.79,0.02337794005870819,0.043159715831279755,1.0179017782211304,1.6585376889027095,0.7709277272224426,0.8815471832734754,1.8859914541244507,-1.3660803993412174,0.4221535325050354,0.0,220640,0.0,0.018357487922705314,4651,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\substitution-high\L3\8838-298545-0037.wav
base,5390-30102-0015,1,clean,0.0,0.0,500,15.26,0.03107987903058529,0.04837138205766678,1.3381139039993286,-3.892163225594187,0.5383598208427429,0.7740162147118261,1.2074334621429443,-3.613279533835172,0.32823967933654785,0.0,244160,0.0,0.0,17222,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\clean\L1\5390-30102-0015.wav
