variant,L,channel,step,comm_mel_clean,comm_mel_pert,gap
V2,3,substitution-high,2500,0.44725286960601807,0.6551999449729919,0.20794707536697388
V2,3,substitution-high,5000,0.45874717831611633,0.7584772109985352,0.2997300326824188
V2,3,substitution-high,7500,0.431251585483551,0.7280608415603638,0.29680925607681274
V2,3,substitution-high,10000,0.4240986704826355,0.6235798597335815,0.19948118925094604
V2,3,substitution-high,12500,0.4826129376888275,0.6687585711479187,0.1861456334590912
V2,3,substitution-high,15000,2.047445774078369,2.294963836669922,0.24751806259155273
V2,3,substitution-high,17500,0.42347773909568787,0.5749301314353943,0.15145239233970642
V2,3,substitution-high,20000,0.4792937934398651,0.6281430125236511,0.148849219083786
V2,3,substitution-high,22500,0.515546441078186,0.712212860584259,0.196666419506073
V2,3,substitution-high,25000,0.4396800100803375,0.5992818474769592,0.1596018373966217
V2,3,substitution-high,27500,0.4348258972167969,0.6402485370635986,0.20542263984680176
V2,3,substitution-high,30000,0.44135990738868713,0.6312815546989441,0.18992164731025696
V2,3,substitution-high,32500,0.4856703281402588,0.7092800736427307,0.22360974550247192
V3,1,dropout-mid,2500,0.5538204312324524,0.5676634311676025,0.013842999935150146
V3,1,dropout-mid,5000,0.5617973804473877,0.5768882632255554,0.015090882778167725
V3,1,dropout-mid,7500,0.5899490714073181,0.603617250919342,0.013668179512023926
V3,1,dropout-mid,10000,0.5738097429275513,0.5874305963516235,0.013620853424072266
V3,1,dropout-mid,12500,0.6461266279220581,0.6586620211601257,0.012535393238067627
V3,1,dropout-mid,15000,0.5829673409461975,0.5953369736671448,0.012369632720947266
V3,1,dropout-mid,17500,0.5888314247131348,0.602021336555481,0.013189911842346191
V3,1,dropout-mid,20000,0.6170059442520142,0.6313951015472412,0.01438915729522705
V3,1,dropout-mid,22500,0.7790675759315491,0.7935305833816528,0.01446300745010376
V3,1,dropout-mid,25000,0.6152998805046082,0.6272087693214417,0.011908888816833496
V3,1,dropout-mid,27500,0.662484347820282,0.6739597916603088,0.011475443840026855
V3,1,dropout-mid,30000,0.8991453647613525,0.911793053150177,0.012647688388824463
V3,1,dropout-mid,32500,0.6531849503517151,0.6643931269645691,0.011208176612854004
V3,1,dropout-high,2500,0.5538204312324524,0.5820002555847168,0.028179824352264404
V3,1,dropout-high,5000,0.5617973804473877,0.5881581902503967,0.026360809803009033
V3,1,dropout-high,7500,0.5899490714073181,0.6176616549491882,0.027712583541870117
V3,1,dropout-high,10000,0.5738097429275513,0.5983600616455078,0.024550318717956543
V3,1,dropout-high,12500,0.6461266279220581,0.6698201298713684,0.023693501949310303
V3,1,dropout-high,15000,0.5829673409461975,0.6097079515457153,0.026740610599517822
V3,1,dropout-high,17500,0.5888314247131348,0.6130213141441345,0.024189889430999756
V3,1,dropout-high,20000,0.6170059442520142,0.6403372287750244,0.023331284523010254
V3,1,dropout-high,22500,0.7790675759315491,0.8044472336769104,0.025379657745361328
V3,1,dropout-high,25000,0.6152998805046082,0.6392843723297119,0.02398449182510376
V3,1,dropout-high,27500,0.662484347820282,0.688280463218689,0.025796115398406982
V3,1,dropout-high,30000,0.8991453647613525,0.9240507483482361,0.024905383586883545
